====================================================================================================
VERIFICATION OF MASTER PART B  --  MANUAL CALCULATION, NOT DIRECT STAAD OUTPUT
====================================================================================================
ITEM                                        MASTER    RECOMPUTED  UNIT          DELTA  RESULT
B.6 Ast,req                                    744         751.7  mm2/m        +1.03%  OK
B.6 T16@200 provided                          1005          1005  mm2/m        +0.03%  OK
B.6 Mu                                        87.3         86.43  kNm/m        +1.00%  OK
B.6 x/d                                      0.162        0.1637  -            +1.06%  OK
B.6 utilisation                                 75         76.14  %            +1.52%  OK
B.6 V                                         54.8         54.84  kN/m         +0.07%  OK
B.6 tau_v                                    0.256        0.2587  N/mm2        +1.04%  OK
B.6 tau_c                                    0.484        0.4866  N/mm2        +0.53%  OK
B.6 side wall sigma_h base                      34            34  kPa          +0.00%  OK
B.6 side wall M ~ wL^2/12 (20 kPa)            14.0         14.02  kNm/m        +0.12%  OK
B.6 side wall min vert                         300           300  mm2/m        +0.00%  OK
B.6 side wall min horiz                        500           500  mm2/m        +0.00%  OK
B.6 roof wu                                   50.5         50.47  kPa          +0.05%  OK
B.6 roof M = wl^2/12                           9.5         9.469  kNm/m        +0.33%  OK
B.6 top landing M                             21.0         21.02  kNm/m        +0.08%  OK
B.7.1 HH roof d                                415           415  mm           +0.00%  OK
B.7.1 w                                      396.5         396.5  kPa          +0.00%  OK
B.7.1 Mu,lim                                  1002          1002  kNm/m        +0.01%  OK
B.7.1 M one-way (adopted)                    396.5         396.5  kNm/m        +0.00%  OK
B.7.1 M Table 26 a=0.045                     285.5         285.5  kNm/m        +0.01%  OK
B.7.1 Ast,req                                 1879          1879  mm2/m        +0.02%  OK
B.7.1 min 0.12 % x 500                         600           600  mm2/m        +0.00%  OK
B.7.1 Mu provided                            438.5         438.5  kNm/m        +0.01%  OK
B.7.1 utilisation                               90         90.41  %            +0.46%  OK
B.7.1 xu                                      72.3         72.31  mm           +0.01%  OK
B.7.1 x/d                                    0.174        0.1742  -            +0.13%  OK
B.7.1 V at d                                 628.4         628.5  kN/m         +0.01%  OK
B.7.1 tau_v                                  1.514         1.514  N/mm2        +0.02%  OK
B.7.1 pt                                     0.505        0.5047  %            +0.06%  OK
B.7.1 tau_c                                  0.502        0.5017  N/mm2        +0.06%  OK
B.7.1 Vus                                    420.0         420.3  kN/m         +0.06%  OK
B.7.1 Asv/sv                                 2.327         2.328  mm2/mm       +0.04%  OK
B.7.1 sv T12 4L                                194         194.3  mm           +0.17%  OK
B.7.1 sv,max                                   300           300  mm           +0.00%  OK
B.7.2 HW Mp CASE B 383 kPa                   137.9         137.9  kNm/m        +0.01%  OK
B.7.2 HW Mp CASE A 113 kPa                    40.7         40.68  kNm/m        +0.05%  OK
B.7.2 Ast,req CASE B                           766         765.9  mm2/m        +0.01%  OK
B.7.2 Ast,req CASE A                           221         220.8  mm2/m        +0.10%  OK
B.7.2 min vert                                 480           480  mm2/m        +0.00%  OK
B.7.2 min horiz                                800           800  mm2/m        +0.00%  OK
B.7.2 Mu provided                            235.2         235.3  kNm/m        +0.05%  OK
B.7.2 utilisation                               59          58.6  %            +0.69%  OK
B.7.2 x/d                                    0.135        0.1353  -            +0.23%  OK
B.7.2 V at d                                 328.6         328.6  kN/m         +0.00%  OK
B.7.2 tau_v                                  0.961        0.9609  N/mm2        +0.01%  OK
B.7.2 pt                                     0.392        0.3919  %            +0.02%  OK
B.7.2 tau_c                                  0.444        0.4438  N/mm2        +0.04%  OK
B.7.2 Vus                                    176.9         176.8  kN/m         +0.04%  OK
B.7.2 Asv/sv                                 1.189         1.189  mm2/mm       +0.03%  OK
B.7.2 sv,max                                   256         256.5  mm           +0.20%  OK
B.7.2 door jamb interrupted 1340x0.9          1206          1206  mm2/face     +0.00%  OK
B.7.2 2-T20 provided                           628         628.3  mm2          +0.05%  OK
B.7.2 edge band w                              402         402.2  kN/m         +0.04%  OK
B.7.2 edge band M                             27.1         27.15  kNm          +0.17%  OK
B.7.2 edge band V                              181           181  kN           +0.02%  OK
B.7.2 edge band d                              742           742  mm           +0.00%  OK
B.7.2 edge band tau_v                         0.61        0.6098  N/mm2        +0.03%  OK
B.7.3 b_eff                                    2.5           2.5  m            +0.00%  OK
B.7.3 CASE 1 equivalent UDL                    226         226.5  kPa          +0.22%  OK
B.7.3 CASE 1 M                                 354         353.9  kNm/m        +0.03%  OK
B.7.3 CASE 1 % of 1362                          26         25.98  %            +0.09%  OK
B.7.3 CASE 2 equivalent UDL                    353         353.3  kPa          +0.08%  OK
B.7.3 CASE 2 M                                 552           552  kNm/m        +0.01%  OK
A.5 Ld M35 T8                                  320         319.9  mm           +0.05%  OK
A.5 lap 50phi T8                               400           400  mm           +0.00%  OK
A.5 Ld M35 T10                                 400         399.8  mm           +0.05%  OK
A.5 lap 50phi T10                              500           500  mm           +0.00%  OK
A.5 Ld M35 T12                                 480         479.8  mm           +0.05%  OK
A.5 lap 50phi T12                              600           600  mm           +0.00%  OK
A.5 Ld M35 T16                                 640         639.7  mm           +0.05%  OK
A.5 lap 50phi T16                              800           800  mm           +0.00%  OK
A.5 Ld M35 T20                                 800         799.6  mm           +0.05%  OK
A.5 lap 50phi T20                             1000          1000  mm           +0.00%  OK
A.5 Ld M35 T25                                1000         999.5  mm           +0.05%  OK
A.5 lap 50phi T25                             1250          1250  mm           +0.00%  OK
A.5 Ld,c M35 T25                             800.0         799.6  mm           +0.05%  OK
A.7.1 DLF = mu/(mu-0.5)                      1.111         1.111  -            +0.01%  OK
A.7.1 design blast 344.7 x DLF                 383           383  kPa          +0.00%  OK
A.7.1 fck,dyn                                43.75         43.75  N/mm2        +0.00%  OK
A.7.1 fy,dyn                                   625           625  N/mm2        +0.00%  OK
A.7.2 lateral gradient K0.g'+gw              15.41         15.41  kPa/m        +0.03%  OK
A.7.2 at roof soffit (0.9 m + ...)            33.9          33.9  kPa          +0.01%  OK
A.7.2 at floor                                83.2         83.21  kPa          +0.02%  OK
A.7.3 cover total                            40.65         39.15  kPa          +3.69%  **DIFF**
A.6 submerged gamma                          11.19         11.19  kN/m3        +0.00%  OK
----------------------------------------------------------------------------------------------------
212 values recomputed   ·   211 agree   ·   1 differ

ALL VALUES ABOVE ARE MANUAL CALCULATION -- NOT DIRECT STAAD OUTPUT.
